text,label
"Free movie download links without copyright","illegal"
"Buy weed online cheap price","illegal"
"Fake passport services available","illegal"
"Bomb making tutorial full guide","illegal"
"Report this scam immediately, they are cheating people","illegal"
"He hit her and called bad names","abuse"
"You are useless and stupid","abuse"
"Stop bullying your classmates","abuse"
"Racist comments about community","abuse"
"Offensive language used against women","abuse"
"Watch hot girls live chat now","adult content"
"Free sex videos streaming","adult content"
"Nude wallpapers collection","adult content"
"18+ dating site join now","adult content"
"Adult video links posted here","adult content"
"Good morning, have a nice day","safe"
"Let's meet for coffee tomorrow","safe"
"Looking forward to the weekend","safe"
"Happy birthday my friend","safe"
"Work project deadline is next week","safe"
